trajectory_id,MMSI,origin_port,destination_port,start_time,end_time,duration_hours,distance_km,avg_speed_kmh,excluded_aberrant_segments,Length,Width,Draft
209470000_1_juil_aout,209470000.0,FREEPORT,FREEPORT,2024-07-01 00:30:00,2024-07-01 03:10:00,2.6666666666666665,2.5961466845645136,0.9735550067116926,0,300.0,40.0,9.9
209470000_2_juil_aout,209470000.0,FREEPORT,FREEPORT,2024-07-01 12:30:00,2024-07-01 18:00:00,5.5,0.10456272652467526,0.019011404822668228,0,300.0,40.0,9.9
209470000_2_mai_juin_2023,209470000.0,ANDRES (ANDRES LGN TERMINAL),ANDRES (ANDRES LGN TERMINAL),2023-05-04 03:10:00,2023-05-04 16:00:00,12.833333333333334,69.44959051298652,5.411656403609339,0,300.0,40.0,9.9
209470000_4_mai_juin_2023,209470000.0,ANDRES (ANDRES LGN TERMINAL),ANDRES (ANDRES LGN TERMINAL),2023-06-25 01:50:00,2023-06-25 09:40:00,7.833333333333333,21.356905875783454,2.7264135160574625,0,300.0,40.0,9.9
209470000_4_sept_oct,209470000.0,FREEPORT,FREEPORT,2024-09-22 01:00:00,2024-09-22 01:30:00,0.5,0.012620376547022139,0.025240753094044277,0,300.0,40.0,9.9
209470000_6_janv_fev_2023,209470000.0,ANDRES (ANDRES LGN TERMINAL),ANDRES (ANDRES LGN TERMINAL),2023-02-19 02:30:00,2023-02-19 05:00:00,2.5,8.946721418798202,3.5786885675192806,0,300.0,40.0,9.9
209470000_6_sept_oct,209470000.0,FREEPORT,FREEPORT,2024-09-23 01:00:00,2024-09-23 01:50:00,0.8333333333333334,7.264853073352274,8.717823688022728,0,300.0,40.0,9.9
209470000_7_nov_dec,209470000.0,FREEPORT,FREEPORT,2024-12-05 05:20:00,2024-12-05 05:30:00,0.16666666666666666,0.04711017754679608,0.2826610652807765,0,300.0,40.0,9.9
209470000_8_nov_dec,209470000.0,FREEPORT,FREEPORT,2024-12-05 16:50:00,2024-12-06 01:30:00,8.666666666666666,13.305519374734892,1.5352522355463338,0,300.0,40.0,9.9
209470000_9_nov_dec,209470000.0,FREEPORT,FREEPORT,2024-12-06 07:40:00,2024-12-06 19:50:00,12.166666666666666,0.16507801016043913,0.013568055629625134,0,300.0,40.0,9.9
209513000.0_1.0_mars_avril_2023,209513000.0,PORT EVERGLADES,PORT EVERGLADES,2023-03-01 00:00:00,2023-03-08 14:00:00,182.0,45.44291870239431,0.24968636649667203,112,169.0,27.0,9.8
209513000.0_10.0_mars_avril_2023,209513000.0,FREEPORT,PORT EVERGLADES,2023-04-08 21:30:00,2023-04-10 23:50:00,50.333333333333336,17.29682175688257,0.34364546536852786,32,169.0,27.0,9.8
209513000.0_2.0_mars_avril_2023,209513000.0,PORT EVERGLADES,PORT EVERGLADES,2023-03-09 01:50:00,2023-03-11 14:10:00,60.333333333333336,20.040896051921862,0.33216954782190933,18,169.0,27.0,9.8
209513000.0_3.0_mars_avril_2023,209513000.0,PORT EVERGLADES,PORT EVERGLADES,2023-03-12 01:40:00,2023-03-15 13:00:00,83.33333333333333,29.83255712050451,0.35799068544605417,36,169.0,27.0,9.8
209513000.0_4.0_mars_avril_2023,209513000.0,PORT EVERGLADES,PORT EVERGLADES,2023-03-16 00:50:00,2023-03-18 09:10:00,56.333333333333336,113.1461540575413,2.0085116104888985,28,169.0,27.0,9.8
209513000.0_9.0_mars_avril_2023,209513000.0,FREEPORT,PORT EVERGLADES,2023-04-01 21:50:00,2023-04-08 13:20:00,159.5,312.7838595108443,1.9610273323563907,65,169.0,27.0,9.8
209513000_10_mai_juin_2023,209513000.0,PORT EVERGLADES,PORT EVERGLADES,2023-06-02 00:10:00,2023-06-03 13:00:00,36.833333333333336,22.304907969740455,0.6055631123006457,18,169.0,27.0,9.8
209513000_10_nov_dec,209513000.0,PORT EVERGLADES,PORT EVERGLADES,2024-11-16 00:30:00,2024-11-16 14:10:00,13.666666666666666,8.958059084296023,0.6554677378753188,0,169.0,27.0,9.8
209513000_10_sept_oct,209513000.0,PORT EVERGLADES,PORT EVERGLADES,2024-10-02 00:00:00,2024-10-05 13:10:00,85.16666666666667,31.06282138616232,0.3647298010116906,35,169.0,27.0,9.8
209513000_11_juil_aout,209513000.0,FREEPORT,PORT EVERGLADES,2024-08-06 22:30:00,2024-08-08 13:00:00,38.5,19.260175466122703,0.5002642978213689,34,169.0,27.0,9.8
209513000_11_mai_juin_2023,209513000.0,PORT EVERGLADES,PORT EVERGLADES,2023-06-04 00:30:00,2023-06-08 13:00:00,108.5,185.77918188046078,1.7122505242438781,50,169.0,27.0,9.8
209513000_11_sept_oct,209513000.0,PORT EVERGLADES,PORT EVERGLADES,2024-10-06 00:40:00,2024-10-12 13:10:00,156.5,19.862771854860014,0.12691866999910553,19,169.0,27.0,9.8
209513000_12_janv_fev_2023,209513000.0,PORT EVERGLADES,FREEPORT,2023-02-19 01:50:00,2023-02-25 16:40:00,158.83333333333334,142.89437126616133,0.8996497666285078,79,169.0,27.0,9.8
209513000_12_juil_aout,209513000.0,FREEPORT,PORT EVERGLADES,2024-08-08 19:30:00,2024-08-13 13:00:00,113.5,157.5858523918329,1.3884216069765014,100,169.0,27.0,9.8
