port_cluster,centroid_lat,centroid_lon,n_stay_points,avg_duration_hours,matched_port_name,distance_to_port_km,is_validated_port
201.0,49.64489062662791,-123.8216003602728,116.0,11.280172413793103,,28.249688907545092,False
246.0,30.393121529305706,-81.40552194662553,113.0,32.674041297935105,MAYPORT,2.774864652259072,True
205.0,27.77799116858492,-91.9908189622902,113.0,10.101769911504425,,147.0036586355937,False
471.0,35.054081003955176,-85.32664347785814,110.0,7.072727272727272,,440.4896714987786,False
169.0,42.85380075674792,-78.87241291143445,110.0,30.595454545454544,BUFFALO,3.402291413123551,True
260.0,26.210860091600445,-94.7250280564801,109.0,10.021406727828746,,247.4443023843093,False
80.0,28.831110117651683,-95.15877311640124,109.0,27.767584097859327,,21.53087771592028,False
248.0,43.244584670459865,-86.25894777843065,107.0,8.152647975077882,MUSKEGON,1.3986870787198848,True
88.0,46.92154890554265,-124.11966464623332,104.0,43.75,WESTHAVEN COVE,0.5886528384355244,True
255.0,26.12371003984203,-94.8963551190443,103.0,21.045307443365694,,230.0668951177213,False
333.0,46.28846985180825,-83.76714020015676,101.0,10.013201320132012,BRUCE MINES,1.3691335297323963,True
291.0,28.139590337717888,-90.21191230730513,99.0,9.587542087542086,,58.9497078751621,False
240.0,41.97350525916018,-80.55149500008905,99.0,14.713804713804713,CONNEAUT,0.7703591683367881,True
259.0,27.17626685760574,-90.30447307942856,98.0,8.294217687074829,,146.8770961178273,False
283.0,29.09651348411523,-91.88314338577848,96.0,10.465277777777777,,93.12183945664354,False
197.0,44.050654541704695,-77.11868311583179,96.0,20.49652777777778,PICTON,3.956542324169862,True
229.0,44.51780309637602,-88.01872049340119,95.0,14.835087719298246,GREEN BAY,0.2060757680165134,True
91.0,48.13189556265514,-123.42778450467289,95.0,37.992982456140346,PORT ANGELES,1.742700256643361,True
98.0,43.64684230149786,-70.25913891404305,94.0,31.58333333333333,PORTLAND,2.3237767554194475,True
336.0,43.617737692655695,-83.85377928295945,91.0,7.252747252747253,BAY CITY,2.2286289951683043,True
183.0,43.097287722052734,-82.37111468420424,91.0,17.87912087912088,,11.433640666452431,False
401.0,27.23486431049378,-90.82423816593224,90.0,14.78148148148148,,135.66793631914456,False
19.0,17.97166812979146,-66.61637854489409,90.0,40.92962962962963,PLAYA DE PONCE,1.297433139603972,True
157.0,45.557919789235775,-73.52101494855009,90.0,6.455555555555556,MONTREAL,5.112526071243104,True
44.0,20.96760679067429,-97.30810019149284,89.0,10.689138576779026,TUXPAN,9.741455465393644,True
203.0,41.89279252417557,-83.3386117599331,88.0,11.875,MONROE,1.1390059495582385,True
494.0,41.16477188493923,-73.92141489234726,88.0,12.679924242424242,,25.797409541284516,False
446.0,28.075682596365105,-92.69485027824314,87.0,4.936781609195402,,199.75479856589934,False
356.0,28.266664102232912,-91.85336659075357,86.0,6.325581395348837,,114.68386940917125,False
365.0,18.07774755463756,-65.79767496727925,86.0,22.86046511627907,PUERTO YABUCOA,4.8712650956496075,True
453.0,28.397639262613406,-91.59685084687852,86.0,7.90891472868217,,87.89629602385345,False
287.0,29.20389691325492,-88.69916819403298,86.0,5.463178294573643,,100.3257881705102,False
220.0,38.56231648675278,-121.5527174408555,85.0,94.41764705882352,SACRAMENTO,5.144371880411898,True
257.0,33.338560569821254,-118.31249257450196,84.0,3.7916666666666665,AVALON,1.3297975496780585,True
144.0,27.321083117530108,-90.53440102192975,84.0,15.265873015873016,,126.5804820842069,False
94.0,43.100443988149785,-70.78579770118426,83.0,109.22489959839356,PORTSMOUTH,3.4741409473287326,True
460.0,29.135879237053164,-89.58643017519687,82.0,12.819105691056908,,39.76116490656865,False
318.0,18.618450796930528,-66.11349731273637,81.0,6.716049382716049,,16.880895792509605,False
252.0,44.24079246971533,-76.09374826481489,81.0,7.228395061728395,CLAYTON,3.5826190438988554,True
355.0,29.339125523354102,-88.0400979280423,80.0,7.7354166666666675,,123.34433479934461,False
156.0,37.5129901832933,-122.20993760223746,80.0,40.47291666666667,REDWOOD CITY,2.425858326568759,True
224.0,25.559808268601092,-79.27560761081261,79.0,4.694092827004219,,94.3054207617885,False
52.0,38.66646262437912,-74.83151196477141,79.0,42.42616033755274,,43.038978052117265,False
304.0,33.806709669788255,-119.16432569729156,78.0,5.880341880341881,,38.31361393305944,False
63.0,38.93909300139937,-75.1693060135772,78.0,37.282051282051285,,67.7700878994634,False
86.0,45.16552361726198,-66.08912614608246,78.0,16.508547008547005,CANAPORT (ST. JOHN),9.134928058188915,True
332.0,43.47012804091028,-83.91682086959094,76.0,5.673245614035088,SAGINAW,4.303063110228986,True
385.0,29.298238890035435,-92.39727361096844,76.0,9.666666666666666,,122.68116975458526,False
106.0,30.08139324423396,-93.3105825805004,76.0,55.75219298245613,HAYMARK TERMINAL,5.80501759997413,True
112.0,39.97834113778268,-75.0857602683522,76.0,58.6688596491228,CAMDEN,5.135103055917994,True
406.0,27.22167397322904,-90.02804485243344,75.0,13.18,,151.72448309907938,False
361.0,28.178803322123088,-92.68581252594858,74.0,8.153153153153152,,196.71646527617088,False
152.0,18.46221103930337,-69.88078763872751,73.0,6.08675799086758,SANTO DOMINGO,0.5635351987846529,True
305.0,46.17460046381942,-123.10727333042496,73.0,71.37214611872145,,14.162158369619195,False
202.0,44.72562357660083,-75.48076517225041,73.0,12.0,LOWER LAKES TERMINAL,1.405430247094498,True
262.0,28.81318617122957,-92.06237334677212,72.0,7.37037037037037,,128.2750597072117,False
276.0,29.260591923323183,-88.7633273021401,71.0,5.014084507042254,,92.525929262772,False
108.0,44.44124844701148,-68.90429239307574,71.0,35.943661971830984,SEARSPORT,1.3827422472758466,True
109.0,42.62005001824466,-73.7580419699101,70.0,82.14047619047619,ALBANY,3.3946419889570545,True
164.0,18.13342096833128,-94.40219441389289,70.0,7.026190476190476,COATZACOALCOS,2.3952462373779957,True
388.0,29.36468656915682,-90.7218882245054,69.0,7.495169082125603,,60.67622154691984,False
331.0,41.54924942971286,-82.72208339864041,69.0,13.367149758454104,,11.045247813258186,False
193.0,43.86504415192689,-78.82189610148578,68.0,40.71813725490196,OSHAWA,0.45639385822987527,True
292.0,27.175049984718964,-91.2076246123214,68.0,13.014705882352942,,150.30115876149773,False
70.0,30.12542111522628,-88.53995044386212,67.0,30.30597014925373,,25.10357758782307,False
139.0,48.87084183276042,-123.6404143796776,67.0,54.007462686567166,CROFTON,0.6955373831226898,True
116.0,27.84498941130588,-97.0682046035585,67.0,69.69900497512437,PORT ARANSAS,2.209971982107087,True
